City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,abu kamal,34.4506,40.9171,297.65,22,0,1.24,SY,1667640260
1,hobart,-42.8794,147.3294,286.07,86,100,4.63,AU,1667640017
2,rikitea,-23.1203,-134.9692,294.72,68,85,5.84,PF,1667640263
3,albany,42.6001,-73.9662,290.03,88,100,2.84,US,1667640264
4,bol,13.4586,14.7147,299.44,34,25,4.82,TD,1667640265
5,ushuaia,-54.8,-68.3,280.96,87,0,2.06,AR,1667640267
6,grindavik,63.8424,-22.4338,279.12,70,0,6.69,IS,1667640268
7,bluff,-46.6,168.3333,283.11,64,61,6.35,NZ,1667640270
8,langham,52.3668,-106.9679,273.06,82,100,5.51,CA,1667640271
9,harwich,51.9419,1.2844,282.73,84,100,2.24,GB,1667640272
10,kotelnich,58.3089,48.348,273.44,86,97,2.23,RU,1667640274
11,thompson,55.7435,-97.8558,268.24,93,100,2.06,CA,1667640275
12,yellowknife,62.456,-114.3525,256.44,85,75,5.14,CA,1667640277
13,atuona,-9.8,-139.0333,298.17,75,30,6.44,PF,1667640278
14,mataura,-46.1927,168.8643,278.3,85,8,1.06,NZ,1667640280
15,thomastown,52.5267,-7.1372,286.72,98,100,6.49,IE,1667640281
16,mahebourg,-20.4081,57.7,300.31,69,75,6.69,MU,1667640283
17,margate,51.3813,1.3862,282.76,80,94,1.34,GB,1667640284
18,shihezi,44.3,86.0333,286.03,32,100,2.39,CN,1667640285
19,nikolskoye,59.7035,30.7861,272.09,70,21,3.29,RU,1667640288
20,jos,9.9167,8.9,297.51,25,39,4.25,NG,1667640291
21,san mateo ixtatan,15.8319,-91.4781,283.05,94,100,1.43,GT,1667640293
22,new norfolk,-42.7826,147.0587,285.87,73,100,1.34,AU,1667640295
23,busselton,-33.65,115.3333,292.72,55,1,6.4,AU,1667640296
24,lagoa,39.05,-27.9833,290.67,64,100,6.66,PT,1667640041
25,luis correia,-2.8792,-41.6669,296.16,83,100,2.17,BR,1667640299
26,bethel,41.3712,-73.414,289.93,88,100,0.0,US,1667640300
27,seoul,37.5683,126.9778,282.84,53,0,2.06,KR,1667640156
28,lalas,37.7167,21.7167,294.15,53,50,4.31,GR,1667640303
29,sainte-marie,-20.8968,55.5496,301.22,72,20,3.6,RE,1667640304
30,bambous virieux,-20.3428,57.7575,300.29,69,75,6.69,MU,1667640306
31,saint-philippe,-21.3585,55.7679,299.88,77,24,3.8,RE,1667640307
32,meulaboh,4.1363,96.1285,300.63,71,99,2.49,ID,1667640309
33,hualmay,-11.0964,-77.6139,288.84,90,22,3.71,PE,1667640310
34,kem,64.9555,34.5793,276.82,87,100,3.53,RU,1667640313
35,kavaratti,10.5669,72.642,300.82,72,100,3.03,IN,1667640314
36,vaini,-21.2,-175.2,297.24,78,40,2.57,TO,1667640316
37,broken hill,-31.95,141.4333,295.13,31,100,1.31,AU,1667640317
38,punta arenas,-53.15,-70.9167,281.21,81,0,2.06,CL,1667640145
39,karratha,-20.7377,116.8463,301.26,45,8,7.37,AU,1667640320
40,hermanus,-34.4187,19.2345,295.82,72,100,4.38,ZA,1667640321
41,petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,80,40,4.0,RU,1667640323
42,likhoslavl,57.1275,35.464,274.3,75,53,1.11,RU,1667640326
43,jamestown,42.097,-79.2353,290.92,72,0,4.02,US,1667640328
44,kapaa,22.0752,-159.319,299.33,84,100,8.75,US,1667640329
45,penzance,50.1186,-5.5371,285.77,100,75,9.77,GB,1667640331
46,pevek,69.7008,170.3133,258.89,68,57,6.45,RU,1667640332
47,sitka,57.0531,-135.33,274.09,86,75,0.0,US,1667640333
48,port alfred,-33.5906,26.891,296.58,76,18,2.68,ZA,1667640335
49,shahreza,32.0339,51.8794,287.45,25,87,0.6,IR,1667640336
50,kaduna,10.5222,7.4383,300.81,21,54,4.87,NG,1667640338
51,aksu,41.1231,80.2644,286.86,28,100,1.11,CN,1667640339
52,ostersund,63.1792,14.6357,279.4,100,100,8.23,SE,1667640340
53,ilulissat,69.2167,-51.1,268.16,93,100,2.06,GL,1667640342
54,aranda de duero,41.6704,-3.6892,281.38,68,0,1.21,ES,1667640343
55,moussoro,13.6408,16.4901,301.12,15,69,5.28,TD,1667640345
56,qaanaaq,77.484,-69.3632,264.14,87,98,3.4,GL,1667640346
57,kralendijk,12.15,-68.2667,300.14,74,100,4.12,BQ,1667640348
58,acapulco,16.8634,-99.8901,298.05,94,0,0.0,MX,1667640157
